URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://opennursingcoreig.com/ValueSet/acvpu-vs,0.1.0,draft,,ACVPUValueSet,ACVPU Value Set,"ACVPU consciousness level codes",,"SCT"
https://opennursingcoreig.com/ValueSet/goal-evaluation-valueset,0.1.0,draft,,GoalEvaluationValueSet,Goal Evaluation Value Set,"Value set for evaluating patient goal outcomes",,"SCT"
https://opennursingcoreig.com/ValueSet/housing-status-vs,0.1.0,draft,,HousingStatusVS,Housing Status Value Set,"Value set for patient housing status",,"SCT"
https://opennursingcoreig.com/ValueSet/inspired-oxygen-vs,0.1.0,draft,,InspiredOxygenValueSet,Inspired Oxygen Value Set,"Codes for inspired oxygen status",,"SCT"
https://opennursingcoreig.com/ValueSet/news2-code-vs,0.1.0,draft,,NEWS2CodeValueSet,NEWS2 Code Value Set,"LOINC and SNOMED codes for NEWS2",,"Internal"
https://opennursingcoreig.com/ValueSet/news2-subscore-code-vs,0.1.0,draft,,NEWS2SubscoreCodeValueSet,NEWS2 Sub-Score Codes,"SNOMED codes for NEWS2 sub-scores",,"Internal"
https://opennursingcoreig.com/ValueSet/nursing-intervention-valueset,0.1.0,draft,,NursingInterventionValueSet,Nursing Intervention Value Set,"Value set for nursing interventions",,"SCT"
https://opennursingcoreig.com/ValueSet/nursing-problem-valueset,0.1.0,draft,,NursingProblemValueSet,Nursing Problem Value Set,"Value set for nursing problems and diagnoses",,"SCT,Internal"
https://opennursingcoreig.com/ValueSet/onc-4at-acute-change-vs,0.1.0,draft,,AcuteChangeVS,4AT Acute Change Value Set,"Scoring for Acute Change or Fluctuating Course",,"SCT"
https://opennursingcoreig.com/ValueSet/onc-4at-alertness-vs,0.1.0,draft,,AlertnessVS,4AT Alertness Value Set,"Scoring options for 4AT Alertness",,"SCT,Internal"
https://opennursingcoreig.com/ValueSet/onc-4at-amt4-vs,0.1.0,draft,,AMT4VS,4AT AMT4 Value Set,"Scoring options for AMT4 (Age, DOB, Place, Year)",,"SCT"
https://opennursingcoreig.com/ValueSet/onc-4at-attention-vs,0.1.0,draft,,AttentionVS,4AT Attention Value Set,"Scoring for Months Backwards test",,"SCT"
https://opennursingcoreig.com/ValueSet/onc-adpie-vs,0.1.0,draft,,ONCADPIEVS,ADPIE Nursing Process Phases,"The five phases of the professional nursing process.",,"Internal"
https://opennursingcoreig.com/ValueSet/onc-cfs-vs,0.1.0,draft,,ClinicalFrailtyScaleVS,Clinical Frailty Scale Value Set,"Codes for Rockwood Clinical Frailty Scale (1-9)",,"Internal"
https://opennursingcoreig.com/ValueSet/onc-empathy-index-vs,0.1.0,draft,,ONCEmpathyIndexVS,ONC Empathy & Relational Engagement Index,"A clinical scale measuring the depth of therapeutic empathy in nurse-patient interactions. Traditional EHRs ignore this; the Super-Gold Standard makes it a primary outcome.",,"Internal"
https://opennursingcoreig.com/ValueSet/onc-goal-target-measure-vs,0.1.0,draft,,ONCGoalTargetMeasureVS,Goal Target Measure ValueSet,"Codes used for goal target measures",,"SCT,LOINC"
https://opennursingcoreig.com/ValueSet/onc-mca-vs,0.1.0,draft,,MentalCapacityVS,Mental Capacity Finding Value Set,"Codes indicating presence or absence of capacity",,"Internal"
https://opennursingcoreig.com/ValueSet/onc-monk-scale-vs,0.1.0,draft,,ONCMonkScaleVS,Monk Skin Tone Scale ValueSet,"",,"Internal"
https://opennursingcoreig.com/ValueSet/onc-pbs-function-vs,0.1.0,draft,,PBSFunctionVS,PBS Behaviour Function ValueSet,"Common functions of behaviour (SEAT)",,"Internal"
https://opennursingcoreig.com/ValueSet/onc-prognosis-vs,0.1.0,draft,,ONCPrognosisVS,Nursing Prognosis ValueSet,"Prognosis codes for clinical impression",,"SCT"
https://opennursingcoreig.com/ValueSet/onc-relational-outcomes-vs,0.1.0,draft,,ONCRelationalOutcomesVS,ONC Relational Care Outcomes,"Captures the measurable outcomes of relational and empathic nursing care.",,"SCT"
https://opennursingcoreig.com/ValueSet/pain-assessment-code-vs,0.1.0,draft,,PainAssessmentCodeValueSet,Pain Assessment Code Value Set,"LOINC codes for pain severity assessment",,"LOINC"
https://opennursingcoreig.com/ValueSet/problem-category-valueset,0.1.0,draft,,ProblemCategoryValueSet,Problem Category Value Set,"Value set for categorizing nursing problems",,"Internal"
https://opennursingcoreig.com/ValueSet/skintone-vs,0.1.0,draft,,SkinToneVS,Fitzpatrick Skin Tone Value Set,"Value set for Fitzpatrick skin type classifications",,"Internal"
https://opennursingcoreig.com/ValueSet/wound-stage-vs,0.1.0,draft,,WoundStageValueSet,Wound Stage Value Set,"",,"Internal"
